TIME,2007-S1,2007-S2,2008-S1,2008-S2,2009-S1,2009-S2,2010-S1,2010-S2,2011-S1,2011-S2,2012-S1,2012-S2,2013-S1,2013-S2,2014-S1,2014-S2,2015-S1,2015-S2,2016-S1,2016-S2,2017-S1,2017-S2,2018-S1,2018-S2,2019-S1,2019-S2,2020-S1,2020-S2,2021-S1,2021-S2
GEO (Labels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union - 27 countries (from 2020),"0,2121","0,1938","0,2003","0,2071","0,2034","0,2082","0,2153","0,2151","0,2201","0,2201","0,2188","0,2261","0,2322","0,2324","0,2357","0,2368","0,2406","0,239","0,2401","0,2413","0,2533","0,2455","0,2681","0,2758","0,271","0,2606","0,2758","0,2736","0,2742","0,2815"
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","0,2243","0,2062","0,2119","0,219","0,2192","0,2232","0,2263","0,2255","0,2295","0,2315","0,2286","0,2367","0,2436","0,246","0,251","0,2527","0,2575","0,2557","0,2562","0,2574","0,2729","0,2629","0,2896","0,3019","0,2921","0,2803","0,3006","0,2965","0,2973","0,3008"
Belgium,:,"0,1873","0,2153","0,2809","0,2024","0,2134","0,2241","0,2176","0,2304","0,2285","0,225","0,239","0,2186","0,2226","0,2186","0,2243","0,2296","0,245","0,2519","0,2823","0,2916","0,2785","0,3013","0,3057","0,3411","0,3683","0,315","0,3478","0,308","0,2878"
Bulgaria,:,"0,0619","0,0619","0,0685","0,0706","0,0685","0,0685","0,0701","0,0699","0,071","0,0714","0,0798","0,0796","0,0734","0,0709","0,0762","0,0807","0,0813","0,0815","0,0806","0,0814","0,0831","0,0833","0,0847","0,0845","0,0848","0,0862","0,087","0,0885","0,0933"
Czechia,"0,1769","0,1819","0,2084","0,2124","0,2104","0,2217","0,2165","0,2241","0,239","0,2344","0,2419","0,2424","0,2405","0,2354","0,2128","0,2114","0,212","0,2154","0,2197","0,2198","0,2215","0,2292","0,2369","0,2427","0,2441","0,2452","0,2479","0,2491","0,246","0,2669"
Denmark,:,"0,1247","0,1352","0,149","0,1349","0,1197","0,1283","0,1337","0,1418","0,1447","0,1379","0,1307","0,1307","0,1245","0,1264","0,1233","0,1453","0,1399","0,1408","0,1476","0,1514","0,1488","0,1581","0,1688","0,1627","0,1639","0,1555","0,1521","0,1595","0,2066"
Germany (until 1990 former territory of the FRG),"0,2211","0,2313","0,2349","0,2408","0,2498","0,2413","0,2446","0,2472","0,2478","0,2464","0,2516","0,2546","0,2595","0,2603","0,2563","0,2576","0,2611","0,2609","0,2659","0,2651","0,277","0,2759","0,2836","0,284","0,3048","0,2733","0,2851","0,2638","0,2725","0,2852"
Estonia,:,"0,0671","0,0659","0,0688","0,0732","0,0718","0,0713","0,0733","0,0733","0,0785","0,0808","0,0818","0,1055","0,1041","0,1","0,1023","0,0988","0,0972","0,0955","0,0992","0,094","0,0993","0,1147","0,1193","0,1221","0,1212","0,1154","0,1216","0,1295","0,1637"
Ireland,:,"0,4031","0,3919","0,4298","0,3815","0,3667","0,3555","0,3703","0,3148","0,3974","0,4443","0,4771","0,4813","0,5013","0,4882","0,492","0,4906","0,3499","0,3044","0,3218","0,2994","0,2971","0,267","0,2807","0,2899","0,328","0,2778","0,3171","0,352","0,3225"
Greece,:,"0,1086","0,1118","0,0965","0,0959","0,1003","0,103","0,1006","0,1357","0,1216","0,1488","0,1233","0,1656","0,1436","0,1713","0,1526","0,2009","0,1668","0,2044","0,148","0,1692","0,144","0,1708","0,1528","0,1715","0,1601","0,1694","0,1722","0,1989","0,197"
